Project name,Authors
Orthogonal Projection Loss for Multi-Headed Attention,Kyle McGrath
Enhancing Dev Accuracy with DoRA,"Hayden Kim, Nilson Rodriguez Cadenas"
SMARTer Multi-task Fine-tuning of BERT,"Disha Ghandwani, Aditya Ghosh, Rahul Kanekar"
Tuning Up BERT: A Symphony of Strategies for Downstream Tasks,Nick Soulounias
AllBERT: Mastering Multiple-Tasks Efficiently,"Thierry Rietsch, Joe Serrano"
"Beyond BERT: a Multi-Tasking Journey Through Sampling, Loss Functions, Parameter-Efficient Methods, Ensembling, and More","Alycia Lee, Amanda Li"
Enhancing BERTâs Performance on Downstream Tasks via Multitask Fine-Tuning and Ensembling,Lianfa Li
minBert and Downstream Tasks,Zhimin Tang
Multitask Contrastive Learning for Sentence Representation,Abdulaziz Alharbi
BERTâs Got Talent: Advanced Fine-Tuning Strategies for Better BERT Generalization,"Grace Luo, Danny Lin"
Separating Meaning From Weights in Sentence Embeddings,Haibib Kerim
A multi-objective approach to improving accuracy and efficiency in multitask BERT,"Arpit Singh, Amitai Porat, Lin Ma"
Supercharging MinBERT with Contrastive Learning & Self-Distillation,CÃ©cile LogÃ© Baccari
Parameter-Efficient Adaptation of BERT using LoRA and MoE,"Li-Heng Lin, Yi-Ting Wu"
Exploring Multi-Task Learning with Unbalanced Datasets and Gradient Surgery,Julien Darve
Multitask minBERT with Parameter-efficient Fine-tuning,Zhuoqi (Charlie) Zhang
Enhanced BERT Adaptation: Ensembling LoRA Models for Improved Fine-Tuning,Denis Tolkunov
Parameter-Efficient Learning Strategies for Multi-Task Applications of BERT,"Irmak Sivgin, Mahmut Yurt"
Efficient multi-task learning strategies for single BERT,"Jiamin Sun, Xingjian Zhang"
Exploring Transfer Learning and Multi-Task Learning: An Experimental Analysis of Diverse Architectures,Sayali Sonawane
Improving Multi-Task BERT Fine-Tuning: Effective Methods and Practices,"Amy Wang, Haopeng Xue, Xinling Li"
minBERT and Downstream Tasks,"Ziyang Ding, Daniel Zou"
BERT Multitask Learning in a Semi-Supervised Learning Setup,Danhua Yan
"BERTille, a multitask BERT model made in France","Alexis Bonnafont, Malo Sommers, Salma Zainana"
Enhancing BERT:The Effects of Additional Pretraining Using Downstream Task Relevant Datasets,Chase Nwamu
Strategies for Optimization of minBERT for Multi-Task Learning,"Ankur Jai Sood, Cameron Heskett, Shinwoo Lee"
How to make your BERT model an xBERT in multitask learning?,Xingshuo Xiao
ComBERT: Improving Multitask-BERT with Combinations of Scale-invariant Optimization and Parameter-efficient Fine-tuning,"Harper Hua, Ruiquan Gao
      , Xinyi(Jojo) Zhao"
Fine-tune miniBERT for multi-task learning,Geo Zhang
Hybrid Multitask Learning with BERT,Anna Mattinger
Improving minBERT on Downstream Tasks Through Combinatorial Extensions,"Yichen Jiang, Ria Calcagno, Senyang Jiang"
StudentBERT: Multitask Training with Teacher Models,"Shang Jiang, Shengtong Zhang"
"Balancing Act: Evaluating the Interactions Between Multi-Task Learning, Cosine Similarity, and Adversarial Regularization","Leo Glikbarg, Dhafer Faishal"
"Build, Extend, Repeat, Triumph: Extensions to a BERT Multitask Model","Oliver Lee, Ethan Hsu, Manat Kaur"
Fasting NLP:Slimming Down Models with QLoRA,Ricardo Carrillo
BEST-FiT: Balancing Effective Strategies for Tri-task Fine Tuning,"Elijah Kim, Rohan Sanda"
Extending minBERT in a Multi-Task Setting,"Jean-Philippe Lemay, Veljko Skarich, Joe Wang"
Multi-task Learning for BERT,"Xinyan He, Wei Zhao"
Enhancing BERT with Adapter Fusion: A Strategy for Multi-Task Knowledge Transfer,Hao Xu
Combining Contrastive Learning with Layer Utility Analysis and Experimental Multi-Task Finetuning to Improve mini-BERT Performance,"Ellie Vela, Vionna Atef, Ethan Bogle"
minBERT,"Bryant Mendez Melchor, Gustavo Martinez"
minBERT and Downstream Tasks,Jiajing Luo
Parameter Efficient Fine Tuning in Multi-Task Learning with minBERT,Havin E. Hosgur
BERTolomeu: Exploring Methods to Improve Downstream Task Performance with BERT,"Flora Yuan, Jack Zhang"
Multi-Task Learning for Language Model Fine-Tuning,Anonto Zaman
PradrewBert: The Efficient One,"Pradyumna Saligram, Andrew Lanpouthakoun"
Smarter BERT with Better Understanding and Generalization,Yujie Gao
"Multitask BERT for Sentiment Analysis, Paraphrase Detection, and Semantic Textual Similarity",Brandon Ring
Triple Threat: Exploring Multi-task Training Strategies for BERT,"Sally Zhu, Akaash Kolluri"
NeuSemble: Neural Ensemble of Multitask Learning with minBERT,Youzhi (Yousef) Liang
"Bidirectional Encoder Representations from Transformers (BERT) with Mixture of Experts for Sentiment Analysis, Paraphrase Detection, and Semantic Textual Similarity",David D. Wu
Fine-tuning BERT for Multiple Downstream Tasks,Jianhao Cai
Parts of MinBERT,"Monica Hicks, Megan Liu"
Improving the performance of miniBERT and BERTaaR (BERT as a Recruiter),"Prabhjot Singh Rai, Jared Isobe"
Applying Multitask Fine-Tuning to Sentence-BERT,Alvin Ayuyo
Investigation of BERT Fine-tuning Strategies,Sheena Lai
BERT-Based Multi-Task Learning for Natural Language Understanding,Ray Ortigas
Fine-tuning and Gender Fairness of BERT Models,Kevin Rizk
Improving minBert using Multi-Task Fine-Tuning with cosine-similarity,Eun Sun Song
Exploring Efficient Learning of Small BERT Networks with LoRA and DoRA,"Aditri Bhagirath, Moritz Bolling, Daniel Frees"
Downsizing minBERT without hurting performance,Nazar Khan
Leveraging PEFT Strategies for Improved Performance and Efficiency in minBERT,"Mateo Quiros Bloch, Lara Seyahi, Susan Ahmed"
Mastering minBERT: A True Balancing Act,"Emma Escandon, Alejandro Rivas, Daniela Uribe"
Minh-BERT,Taran Kota
